Policy: PurePursuit
Seen length: 50
Model: Kinematic 
551.155103 134.033996 0
3
0.01
1500
551.155103 134.033996
551.202904 134.019536
551.587831 133.910764
551.976209 133.815043
552.366477 133.727346
552.760651 133.659327
553.156734 133.603482
553.554702 133.563216
553.95324 133.529047
554.352227 133.500594
554.750779 133.466597
555.149332 133.432599
555.546108 133.381919
555.941092 133.31877
556.333181 133.239609
556.723265 133.151097
557.110552 133.051055
557.494076 132.937434
557.873869 132.811907
558.248536 132.67182
558.617223 132.516673
558.979189 132.346436
559.333836 132.161435
559.680406 131.961712
560.018401 131.747798
560.346941 131.519628
560.665356 131.277529
560.973097 131.021999
561.26964 130.753555
561.554153 130.472393
561.826005 130.178971
562.084973 129.874117
562.324895 129.554059
562.554657 129.22663
562.771384 128.890432
562.97403 128.545563
563.161294 128.192105
563.332747 127.830714
563.488113 127.46212
563.626632 127.08687>
563.748861 126.706003
563.854755 126.320274
563.944829 125.930548
564.018682 125.537425
564.067385 125.140401
564.104062 124.742086
564.126559 124.342719
564.13348 123.942779
564.123087 123.542914
564.095379 123.143875
564.050705 122.746377
563.980971 122.352503
563.899091 121.960973
563.803273 121.572619
563.692587 121.188238
563.566463 120.808642
563.425488 120.434308
563.269012 120.066184
563.098632 119.704286
562.906231 119.353598
562.704281 119.008321
562.49026 118.670393
562.263359 118.340976
562.023927 118.020551
561.771786 117.710027
561.507732 117.409568
561.232264 117.119538
560.947555 116.838574
560.652979 116.567973
560.348697 116.308334
560.036087 116.058784
559.718179 115.81602
559.393389 115.582543
559.065176 115.353903
558.736905 115.125346
558.40134 114.907641
558.060913 114.697618
557.715548 114.495818
557.367705 114.298321
557.019766 114.100992
556.668768 113.909158
556.315526 113.721488
555.959075 113.539987
555.601766 113.360181
555.245821 113.177688
554.891268 112.992507
554.537512 112.805808
554.183308 112.619959
553.829629 112.433115
553.477156 112.244003
553.124978 112.054345
552.774419 111.861709
552.425081 111.666869
552.077639 111.468666
551.730198 111.270462
551.38673 111.06545
551.050395 110.848936
550.717817 110.626693
550.386362 110.402779
550.054183 110.17994
549.722221 109.956778
549.389675 109.734487
549.058861 109.509627
548.731099 109.280342
548.405874 109.04747
548.074857 108.822909
547.798701 108.635565
547.513776 108.445626
