Policy: Stanley
Seen length: 50
Model: Kinematic 
-550.903597 -623.832615 3.14159
3
0.01
2000
-550.903597 -623.832615
-551.064648 -623.939973
-551.40531 -624.149614
-551.752497 -624.348262
-552.107069 -624.533407
-552.466149 -624.709651
-552.833075 -624.868914
-553.202805 -625.021559
-553.576083 -625.165306
-553.95314 -625.298828
-554.33163 -625.428232
-554.712613 -625.550099
-555.091218 -625.679166
-555.465065 -625.821429
-555.834189 -625.97553
-556.197106 -626.14373
-556.553684 -626.324982
-556.902927 -626.519993
-557.244523 -626.728109
-557.577685 -626.949475
-557.901597 -627.184169
-558.215361 -627.432266
-558.51823 -627.693552
-558.811826 -627.965215
-559.105423 -628.236879
-559.377292 -628.530285
-559.635974 -628.835381
-559.881193 -629.151399
-560.115535 -629.475566
-560.333058 -629.81125
-560.540206 -630.153434
-560.734827 -630.502894
-560.91584 -630.859593
-561.082578 -631.223184
-561.23439 -631.593256
-561.370205 -631.969493
-561.489928 -632.351156
-561.592589 -632.737757
-561.678453 -633.128433
-561.747339 -633.522457
-561.790236 -633.92015
-561.820138 -634.319031
-561.835594 -634.718732
-561.835174 -635.118732
-561.818181 -635.518371
-561.784672 -635.916964
-561.734471 -636.313802
-561.668147 -636.708265
-561.586035 -637.099746
-561.487158 -637.487333
-561.372727 -637.870615
-561.242544 -638.248838
-561.096944 -638.621398
-560.936404 -638.987767
-560.761452 -639.347478
-560.57227 -639.699913
-560.368889 -640.044349
-560.151432 -640.380076
-559.919984 -640.706315
-559.674913 -641.022448
-559.411564 -641.323524
-559.139606 -641.616849
-558.857605 -641.900531
-558.565269 -642.17355
-558.262612 -642.435081
-557.949455 -642.683945
-557.626306 -642.919688
-557.293879 -643.142156
-556.953507 -643.352267
-556.605505 -643.549484
-556.250119 -643.733063
-555.887535 -643.901979
-555.519665 -644.059051
-555.146106 -644.202068
-554.7671 -644.329951
-554.383446 -644.443133
-553.995862 -644.542019
-553.604767 -644.62595
-553.211261 -644.697736
-552.815503 -644.755838
-552.418365 -644.803596
-552.020219 -644.842068
-551.621027 -644.867482
-551.221486 -644.886641
-550.821757 -644.901341
-550.421985 -644.91487
-550.022081 -644.92364
-549.622086 -644.925606
-549.222087 -644.924711
-548.822091 -644.923041
-548.422096 -644.92499
-548.02217 -644.932703
-547.622307 -644.943167
-547.222472 -644.954651
-546.822698 -644.968091
-546.422727 -644.972957
-546.02274 -644.969788
-545.623005 -644.955236
-545.223338 -644.938901
-544.823973 -644.916372
-544.424687 -644.892485
-544.025173 -644.872773
-543.625745 -644.851399
-543.22655 -644.82602
-542.828179 -644.789961
-542.431065 -644.741995
-542.035766 -644.680855
-541.642797 -644.606183
-541.25264 -644.517996
-540.865219 -644.418471
-540.481443 -644.305706
-540.099886 -644.185645
-539.71939 -644.062265
-539.339268 -643.937739
-538.962234 -643.804151
-538.587278 -643.664839
-538.215257 -643.517868
-537.845654 -643.364918
-537.477188 -643.209249
-537.113114 -643.043568
-536.752163 -642.871189
-536.390922 -642.699419
-536.033645 -642.51955
-535.678859 -642.334815
-535.326259 -642.145941
-534.977252 -641.950508
-534.627024 -641.757272
-534.280776 -641.556992
-533.937118 -641.352298
-533.592879 -641.148585
-533.255219 -640.934142
-532.919995 -640.71591
-532.581241 -640.5032
-532.245471 -640.28581
-531.908569 -640.070178
-531.573236 -639.852114
-531.2401 -639.630709
-530.907006 -639.40924
-530.57436 -639.187098
-530.241571 -638.965172
-529.909133 -638.74272
-529.576694 -638.520268
-529.242694 -638.30017
-528.912693 -638.074117
-528.583643 -637.846683
-528.255177 -637.618407
-527.930846 -637.384293
-527.603293 -637.154709
-527.274597 -636.926764
-526.944731 -636.700515
-526.599766 -636.474497
-526.558178 -636.446768
