Policy: Stanley
Path length: 30
Model: Kinematic 
16 75 1.5707
16.1957 78.1236
16.286 78.7002
16.3675 79.2767
16.4318 79.8531
16.47 80.4292
16.4736 81.0049
16.4338 81.5802
16.342 82.155
16.1896 82.7293
15.9678 83.3028
15.6681 83.8757
15.2818 84.4477
14.9627 85.0189
14.7077 85.5891
14.514 86.1584
14.3783 86.7265
14.2977 87.2936
14.2691 87.8596
14.2895 88.4244
14.3559 88.988
14.4651 89.5503
14.6141 90.1114
14.8 90.6713
15.0196 91.2299
15.2699 91.7872
15.5479 92.3434
15.8505 92.8983
16.1747 93.452
16.5175 94.0046
16.8758 94.5561
17.2465 95.1066
17.6265 95.6561
18.0128 96.2048
18.3735 96.7526
18.711 97.2997
19.0279 97.8462
19.3268 98.3922
19.6103 98.9377
19.8808 99.4828
20.1409 100.028
20.3933 100.572
20.6405 101.117
20.8852 101.661
